Date,symbol,stocks,cmp,dRSI,wRSI,mRSI,sector,ema20,ema50,latestChange,weeklyChange,monthlyChange
28th Jan	AUBANK	AUBANK	962.35	42.8	64.58	65.6	bank	986.82	960.59	-0.124	-0.388	-3.23
28th Jan	HUDCO	HUDCO	204.33	40.87	43.24	50.92	financials	211.55	217.81	3.13	4.27	-10.43
28th Jan	DMART	DMART	3735.7	46.59	37.74	44.92	consumer discretionary	3748.91	3856.53	1.77	1.91	-1.23
28th Jan	BSE	BSE	2821.5	58.02	60.29	69.25	financials	2724.83	2688.97	2.18	5.07	7.19
28th Jan	SUNDARMFIN	SUNDARMFIN	5241.5	59.05	60	62.45	financials	5125.2	5001.75	0.953	4.22	-0.782
28th Jan	FACT	FACT	819.4	43.45	42.95	51.58	chemicals	836.37	859.87	3.3	4.79	-10.2
28th Jan	KARURVYSYA	KARURVYSYA	293.8	70.82	77.57	79.2	bank	268.24	258.33	0.427	10.66	11.36
28th Jan	LAURUSLABS	LAURUSLABS	999	39.14	56.97	71.2	healthcare	1043.1	1029.23	-0.12	-1.71	-9.84
28th Jan	VBL	VBL	468.4	39.58	46.28	49	fmcg	485.11	481.22	-0.689	-1.2	-4.38
28th Jan	PNBHOUSING	PNBHOUSING	845.55	33.49	43.5	50.03	financials	917.66	921.84	2.44	4.08	-11.14
28th Jan	ENDURANCE	ENDURANCE	2394.8	35.44	39.32	52.44	auto	2496.74	2587.57	2.6	1.6	-7.53
28th Jan	ICICIPRULI	ICICIPRULI	642.4	42	52.62	53.48	financials	657.4	647.56	-0.225	0.579	-3.87
28th Jan	LTTS	LTTS	3857.2	31.3	36.51	42.08	i.t	4103.66	4248.19	1.57	0.503	-13.56
28th Jan	BLS	BLS	264.4	21.28	27.3	43.13	i.t	294.6	308.91	-1.89	-3.87	-17.66
28th Jan	RBLBANK	RBLBANK	297.35	44.91	53.04	61.9	bank	303.32	304.54	0.677	3.03	-5.84
28th Jan	LTIM	LTIM	6015.5	48.61	56.51	57.95	i.t	6042.89	5999.43	1.26	2.07	-0.792
28th Jan	MGL	MGL	1043.3	37.81	31.97	41.41	energy	1086.43	1132.05	1.43	-3.13	-8.17
28th Jan	CROMPTON	CROMPTON	225.4	27.21	17.91	33.34	consumer discretionary	242.14	255.16	1.46	0.044	-10.64
28th Jan	NH	NH	1761.6	37.84	45.84	59.54	healthcare	1839.67	1859.74	2.07	0.853	-6.89
28th Jan	LALPATHLAB	LALPATHLAB	1400.4	44.73	41.36	49.2	healthcare	1417.56	1456.84	-0.071	1.74	-5.54
28th Jan	ALKEM	ALKEM	5722.5	51.68	59.52	62.2	healthcare	5718.33	5660.91	-0.547	-0.487	3.92
28th Jan	INDIGO	INDIGO	4749	39.28	36.42	52.26	transportation	4888.71	5116.77	-0.419	0.946	-6.14
28th Jan	IDFCFIRSTB	IDFCFIRSTB	82.93	47.81	60.67	59.81	bank	83.54	82.3	-0.683	-0.072	-3.13
28th Jan	GUJGASLTD	GUJGASLTD	410.55	51.34	46.74	43.1	energy	408.81	409.05	1.92	1.38	-0.4
28th Jan	SYNGENE	SYNGENE	480.3	10.38	26.46	35.69	healthcare	596.64	623.41	-1.92	-11.68	-26.22
28th Jan	ADANIENSOL	ADANIENSOL	882	40.32	46.34	46.04	power & utilities	929.21	954.24	3.87	8.53	-14.15
28th Jan	AIIL	AIIL	502.1	31.13	42.06	61.21	financials	579.68	580.39	-3.13	-3.78	-19.88
28th Jan	PNCINFRA	PNCINFRA	213.4	26.98	22.41	35.37	realty	233.11	247.29	0.851	-1.34	-15.21
28th Jan	INOXWIND	INOXWIND	109.25	38.39	32.77	42.72	industrials	113.76	123.29	4.33	5.49	-11.56
28th Jan	PTCIL	PTCIL	17930	51.03	57.74	65.86	industrials	17856.09	17718.99	3.28	2.59	-3.51
28th Jan	MINDACORP	MINDACORP	543.35	40.9	45.63	57.97	auto	562.32	572.23	0.667	0.083	-5.36
28th Jan	INTELLECT	INTELLECT	910.1	41.92	41.66	50.1	i.t	933.72	979.68	1.6	2.14	-6.27
28th Jan	SAMMAANCAP	SAMMAANCAP	141.83	46.21	46.83	47.68	financials	142.4	147.21	2.21	2.1	-2.62
28th Jan	ABFRL	ABFRL	65.31	33.62	33.48	38.89	consumer discretionary	70.05	74.17	5.56	5.95	-14.94
28th Jan	JUSTDIAL	JUSTDIAL	666.85	35.35	32.4	39.06	i.t	700.46	724.81	2.56	3.44	-8.06
28th Jan	INDUSTOWER	INDUSTOWER	425.3	52.77	59.32	62.05	telecom	423.09	413.61	0.651	2.94	1.56
