Date,Symbol,Stocks,Cmp,Drsi,Wrsi,Mrsi,Sector,Ema20,Ema50,Latest change,Weekly change,Monthly change
"8th Jan","NESTLEIND","NESTLEIND","1306.90","63.60","63.49","59.68","fmcg","1279.39","1260.15","-0.601","2.13","1.47"
"8th Jan","TATACHEM","TATACHEM","763.95","46.84","30.03","38.04","chemicals","765.98","798.76","-2.55","1.15","-0.209"
"8th Jan","HINDUNILVR","HINDUNILVR","2386.70","56.91","47.35","48.01","fmcg","2347.02","2381.55","-0.529","1.65","3.06"
"8th Jan","PFIZER","PFIZER","4806","32.93","41.18","49.42","healthcare","4958.69","5026.65","-2.48","-1.66","-3.64"
"8th Jan","GNFC","GNFC","483.40","40.96","41.77","40.88","chemicals","490.36","494.71","-0.780","-2.06","-2.10"
"8th Jan","GLAXO","GLAXO","2398.70","37.27","35.93","48.23","healthcare","2485.93","2545.39","-2.48","-3.43","-3.03"
"8th Jan","DEEPAKFERT","DEEPAKFERT","1220.70","41.19","38.13","52.65","chemicals","1253.27","1310.94","-1.16","-3.26","-5.16"
"8th Jan","GESHIP","GESHIP","1084.60","44.79","54.73","56.39","transportation","1104.90","1091.81","-2.12","-2.64","-3.93"
"8th Jan","VOLTAS","VOLTAS","1469.10","62.54","59.52","56.61","consumer discretionary","1413.62","1390.90","-2.55","2.72","7.93"
"8th Jan","TMPV","TMPV","359.45","46.07","39.80","41.77","auto","362.11","369.90","-1.07","-2.94","-2.15"
"8th Jan","SIEMENS","SIEMENS","3009.50","37.47","42.73","48.73","industrials","3112.14","3142.79","-3.96","-2.85","-1.76"
"8th Jan","BPCL","BPCL","354.55","39.15","54.33","60.16","energy","368.67","362.12","-3.71","-7.05","-7.67"
"8th Jan","BOSCHLTD","BOSCHLTD","38660","63.32","58.24","64.19","auto","37313.48","37180.32","-1.24","-1.93","7.27"
"8th Jan","M&M","M&M","3724","54.64","59.29","75.69","auto","3699.39","3654.00","-0.661","-2.06","0.399"
"8th Jan","LT","LT","4028.40","45.01","59.41","65.85","realty","4080.73","4011.14","-3.09","-3.24","-1.35"
"8th Jan","ESCORTS","ESCORTS","3882.10","61.15","61.47","60.54","auto","3784.51","3721.73","-0.206","0.910","4.36"
"8th Jan","BHARATFORG","BHARATFORG","1454.10","54.94","65.26","59.26","industrials","1449.32","1403.20","-1.98","-1.56","-1.11"
"8th Jan","BAJAJHLDNG","BAJAJHLDNG","11209","47.53","39.48","53.49","financials","11229.58","11546.09","0.098","0.250","-1.05"
"8th Jan","ABBOTINDIA","ABBOTINDIA","28340","45.91","40.30","50.08","healthcare","28487.52","28951.34","-0.509","0.764","-2.36"
"8th Jan","TATACOMM","TATACOMM","1775.90","42.46","50.83","53.40","telecom-service","1804.76","1809.14","-1.33","-0.793","-2.71"
"8th Jan","CUMMINSIND","CUMMINSIND","4118","33.49","51.87","65.17","industrials","4354.44","4330.55","-0.721","-8.12","-7.14"
"8th Jan","ASHOKLEY","ASHOKLEY","184.52","71.23","78.92","80.38","auto","176.83","164.00","-0.860","-2.26","2.97"
"8th Jan","SKFINDIA","SKFINDIA","1832","45.91","34.64","40.68","industrials","1834.38","1928.58","0.159","-1.37","-1.03"
"8th Jan","TATASTEEL","TATASTEEL","180.12","58.78","60.44","61.33","metals & mining","176.62","173.45","-2.00","-1.51","0.022"
"8th Jan","FEDERALBNK","FEDERALBNK","255.75","43.77","66.21","70.10","bank","261.19","251.45","-1.08","-4.20","-4.25"
"8th Jan","HINDALCO","HINDALCO","903.95","61.26","69.48","69.82","metals & mining","883.51","843.56","-3.68","-2.35","1.95"
"8th Jan","AMBUJACEM","AMBUJACEM","546.70","45.93","46.47","50.92","building materials","553.16","553.64","-2.72","-3.31","-1.73"
"8th Jan","TORNTPHARM","TORNTPHARM","4026.40","70.17","71.86","72.39","healthcare","3866.41","3781.18","-1.61","3.63","4.58"
"8th Jan","THERMAX","THERMAX","3061.40","60.55","44.88","45.09","industrials","2996.90","3014.82","-0.257","1.17","1.28"
"8th Jan","ACC","ACC","1723.40","36.59","36.90","37.97","building materials","1759.47","1792.48","-1.82","-1.45","-0.823"
"8th Jan","TATAELXSI","TATAELXSI","5716.50","65.33","54.62","45.64","i.t","5351.71","5319.06","-2.33","7.10","9.08"
"8th Jan","SUNDRMFAST","SUNDRMFAST","937.45","47.79","42.21","41.04","auto","940.55","950.50","-1.59","-0.462","0.300"
"8th Jan","TATAPOWER","TATAPOWER","374.20","41.18","43.26","51.41","power & utilities","381.90","384.80","-1.72","-4.81","-1.42"
"8th Jan","SHREECEM","SHREECEM","26850","52.43","41.87","48.10","building materials","26703.41","27013.26","-1.72","-0.721","1.03"
"8th Jan","JINDALSAW","JINDALSAW","163.45","43.98","33.69","40.87","industrials","166.83","170.94","-4.04","-4.18","-2.67"
"8th Jan","PATANJALI","PATANJALI","563.95","53.82","46.45","52.36","fmcg","557.41","563.28","-2.17","1.25","3.38"
"8th Jan","PIDILITIND","PIDILITIND","1500.80","58.57","52.80","54.16","chemicals","1478.99","1478.52","-0.924","1.53","1.24"
"8th Jan","RAYMOND","RAYMOND","417.05","33.21","26.63","43.51","transportation","435.14","473.65","-2.08","-4.46","-2.39"
"8th Jan","RELIANCE","RELIANCE","1470.60","32.65","49.72","54.98","energy","1541.43","1523.27","-2.23","-7.64","-6.36"
"8th Jan","ONGC","ONGC","231.42","39.46","40.88","48.40","energy","237.62","240.17","-3.20","-4.16","-3.73"
"8th Jan","GRASIM","GRASIM","2792","44.96","51.47","58.94","textiles","2820.54","2804.52","-1.59","-2.25","-1.31"
"8th Jan","VEDL","VEDL","603.50","63.56","71.84","71.37","metals & mining","589.56","552.75","-3.01","-2.18","-0.149"
"8th Jan","NCC","NCC","152.95","33.21","27.64","38.94","realty","160.37","171.78","-2.99","-5.29","-4.67"
"8th Jan","MRF","MRF","148720","38.10","49.83","59.58","auto","151399.55","152520.25","-0.943","-1.30","-2.71"
"8th Jan","MFSL","MFSL","1695.10","52.54","62.96","67.96","miscellaneous","1688.08","1666.50","-1.85","1.44","1.39"
"8th Jan","MAHSEAMLES","MAHSEAMLES","541.35","37.63","35.68","43.36","industrials","556.43","567.25","-2.52","-3.17","-3.56"
